catch_pc1,sst_3yr_running_mean,year
-1.946975524,5.507984913,1965
-3.836449954,5.208876368,1966
-1.435540044,5.43651374,1967
-2.327794444,5.199911649,1968
-2.251913871,5.454688946,1969
-2.728311935,5.387129181,1970
-3.208305529,5.294304899,1971
-4.156810069,4.94962052,1972
-3.880662135,4.801462792,1973
-3.299555391,5.0809935,1974
-2.420383997,5.066876417,1975
-2.269985041,5.403224649,1976
-1.319794082,5.392888369,1977
-0.606892995,5.661766265,1978
-0.453654831,5.630085902,1979
-0.183858051,5.838268566,1980
0.582925149,5.842767978,1981
0.026917323,5.871218678,1982
0.49000322,6.008332406,1983
0.861977659,6.163795553,1984
1.262165347,6.043387259,1985
-0.502980896,6.151175749,1986
-0.123327986,6.127001546,1987
0.701983036,6.072891048,1988
0.968844499,5.713052525,1989
1.855969505,5.428216038,1990
1.596816991,5.610258066,1991
1.655404016,5.623307088,1992
2.344878257,5.959378636,1993
2.03293408,5.706320064,1994
1.698593905,5.666161924,1995
0.775599271,5.334778804,1996
1.843098767,5.761486807,1997
1.379590688,5.923060096,1998
0.831756804,5.886116102,1999
1.384445158,5.685907118,2000
1.452567486,5.433202353,2001
1.157133085,6.001708943,2002
1.699497264,5.969254224,2003
1.394092771,6.192269687,2004
1.092949766,5.776364871,2005
0.969765804,5.553704005,2006
0.859123158,5.277792032,2007
0.851937162,5.046307152,2008
1.561982456,5.265880717,2009
1.307543208,5.503040395,2010
0.264331477,5.492484761,2011
2.048369463,5.423320538,2012
