"t","estimate","conf.low","conf.high"
1965,-3.84673905992783,-4.74807668656214,-2.94540143329352
1966,-4.88623648693908,-5.73296559411609,-4.03950737976207
1967,-3.79999095992061,-4.64489595020944,-2.95508596963178
1968,-4.36551217343416,-5.210358133139,-3.52066621372931
1969,-4.56078295440803,-5.40562700587098,-3.71593890294508
1970,-4.95232648707716,-5.79717047685581,-4.10748249729851
1971,-5.36630492913436,-6.21114891691906,-4.52146094134966
1972,-6.31461706185835,-7.15946104957859,-5.46977307413811
1973,-6.35756406196871,-7.20240804968686,-5.51272007425055
1974,-4.91205073822993,-5.75689472594802,-4.06720675051184
1975,-3.69422235925225,-4.53906634697033,-2.84937837153416
1976,-3.3835937551757,-4.22843774289379,-2.53874976745761
1977,-3.16271612992563,-4.00756011764372,-2.31787214220754
1978,-2.61970409484696,-3.46454808256505,-1.77486010712887
1979,-1.63524585340636,-2.48008984112445,-0.790401865688274
1980,-0.40092353324483,-1.24576752096292,0.443920454473259
1981,0.728234231787419,-0.11660975593067,1.57307821950551
1982,0.32646887848895,-0.518375109229139,1.17131286620704
1983,0.849481925139147,0.00463793742105822,1.69432591285724
1984,1.74514433136616,0.900300343648067,2.58998831908425
1985,2.2870901734878,1.44224618576971,3.13193416120588
1986,0.376250959635798,-0.468593028082291,1.22109494735389
1987,0.237821255073608,-0.607022732644481,1.0826652427917
1988,1.2429137872352,0.39806979951711,2.08775777495329
1989,2.12241856371544,1.27757457599735,2.96726255143353
1990,3.33977269617196,2.49492870845387,4.18461668389005
1991,3.33304387667358,2.48819988895549,4.17788786439167
1992,3.06761339095422,2.22276940323614,3.91245737867231
1993,3.85161151665272,3.00676752893463,4.69645550437081
1994,3.78563351069668,2.94078952297859,4.63047749841477
1995,3.06310114436889,2.2182571566508,3.90794513208698
1996,1.75269074835052,0.907846760632428,2.59753473606861
1997,2.75901048682944,1.91416649911135,3.60385447454753
1998,1.87695357949539,1.0321095917773,2.72179756721348
1999,1.74122422267583,0.896380234957741,2.58606821039392
2000,2.04899627858805,1.20415229086996,2.89384026630614
2001,2.71006751396847,1.86522352625038,3.55491150168656
2002,2.34275536225832,1.49791137454023,3.1875993499764
2003,2.71021076493013,1.86536677721204,3.55505475264822
2004,1.86530452214485,1.02046053442676,2.71014850986294
2005,1.82717181121455,0.982327823496463,2.67201579893264
2006,0.781691741196322,-0.0631522465217669,1.62653572891441
2007,1.04025088706408,0.195406899345995,1.88509487478217
2008,1.32110153527934,0.476257547561248,2.16594552299743
2009,2.57914417511847,1.73430018740038,3.42398816283655
2010,2.05256814919894,1.20772416148085,2.89741213691703
2011,1.3250863689094,0.480242381191308,2.16993035662749
2012,2.61820793795778,1.77336395023969,3.46305192567587
2013,2.55339307838562,1.70854909066752,3.39823706610372
2014,1.89375267799475,1.0489086902764,2.73859666571311
2015,0.713778481234749,-0.131065506491576,1.55862246896108
2016,0.15606872450116,-0.688775263471723,1.00091271247404
2017,-0.401565924122449,-1.24640991972274,0.44327807147784
2018,-1.28036910855197,-2.12521334011102,-0.435524876992909
2019,-0.480579271102052,-1.3254308021676,0.364272259963494
2020,0.0575043093391535,-0.787573005595239,0.902581624273546
2021,-0.366780427024375,-1.21881295908048,0.48525210503173
2022,-0.586452297513611,-1.63101762031726,0.458113025290039
2023,-2.11251775772756,-3.77235869550846,-0.452676819946658
